min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
80,25,50,0.22564488266404642,35042,27922,7379,119,104253
80,10,50,0.3371233639164393,35016,28127,7386,132,104253
80,10,50,0.3371233639164393,35016,28127,7386,132,104253
90,15,50,0.34185743952122133,36305,27934,7380,121,104253
90,20,50,0.2908084822772678,36773,27204,7407,115,104253
90,25,50,0.22391013199938514,35423,27922,7379,113,104253
90,10,50,0.3396588862893777,35200,28127,7386,127,104253
90,10,50,0.3396588862893777,35200,28127,7386,127,104253
100,15,50,0.3379027692231431,36863,27934,7380,114,104253
100,20,50,0.28678964344565155,37345,27204,7407,109,104253
100,25,50,0.2213550863725069,36041,27922,7379,105,104253
100,10,50,0.32302502417441475,36075,28127,7386,115,104253
100,10,50,0.32302502417441475,36075,28127,7386,115,104253
150,15,50,0.3181596712269883,38156,27613,7380,90,104253
150,20,50,0.2927835145041532,38441,27961,7407,90,104253
150,25,50,0.20578328811334182,37559,27922,7379,87,104253
150,10,50,0.3318275960082746,36566,28487,7386,90,104253
150,10,50,0.3318275960082746,36566,28487,7386,90,104253
200,15,50,0.326607048197522,38797,27994,7380,71,104253
200,20,50,0.32472938504309834,37551,29320,7407,70,104253
200,25,50,0.2190984001065658,38253,28548,7379,75,104253
200,10,50,0.30808248094944024,38149,28791,7386,72,104253
200,10,50,0.30808248094944024,38149,28791,7386,72,104253
250,15,50,0.3208520423014619,39868,27994,7380,65,104253
250,20,50,0.3212600694127077,38359,29320,7407,64,104253
250,10,50,0.30444418681454705,39010,28791,7386,67,104253
250,10,50,0.30444418681454705,39010,28791,7386,67,104253
250,25,50,0.190141270731153,33286,37303,11108,62,104253
300,15,50,0.33118600719737856,40877,27994,7380,58,104253
300,20,50,0.3295587687760979,39530,29320,7407,57,104253
